Ticket	Open Time	Type	Size	Item	Price	S / L	T / P	Close Time	Price	Commission	Taxes	Swap	Profit
3987423	2013.01.08 02:38	buy	1	eurjpypro	114.953	114.846	0	2013.01.08 03:57	114.846	-513	0	0	-10 700
3986593	2013.01.08 02:26	buy	1	eurjpypro	114.93	114.938	0	2013.01.08 02:37	114.938	-513	0	0	800
3986000	2013.01.07 22:45	buy	1	eurjpypro	114.948	114.653	0	2013.01.07 23:50	114.653	-513	0	0	-29 500
3985253	2013.01.07 16:30	buy	1	eurjpypro	114.996	114.918	0	2013.01.07 22:39	114.918	-513	0	-140	-7 800
3984160	2013.01.07 13:20	buy	1	eurjpypro	114.582	114.27	0	2013.01.07 13:20	114.57	-513	0	0	-1 200
3984011	2013.01.07 12:25	buy	1	eurjpypro	114.643	114.352	0	2013.01.07 12:43	114.352	-513	0	0	-29 100
3981959	2013.01.07 01:12	buy	1	eurjpypro	115.168	114.913	0	2013.01.07 01:41	114.913	-513	0	0	-25 500
3980061	2013.01.04 14:52	buy	1	eurjpypro	114.653	115.244	0	2013.01.07 00:01	115.244	-513	0	-140	59 100
3979648	2013.01.04 13:51	buy	1	eurjpypro	114.645	114.412	0	2013.01.04 14:19	114.412	-513	0	0	-23 300
3979415	2013.01.04 13:31	buy	1	eurjpypro	114.723	114.515	0	2013.01.04 13:43	114.515	-513	0	0	-20 800
3979219	2013.01.04 13:30	buy	1	eurjpypro	114.845	114.634	0	2013.01.04 13:31	114.634	-513	0	0	-21 100
3978388	2013.01.04 09:36	buy	1	eurjpypro	114.682	114.762	0	2013.01.04 13:30	114.762	-513	0	0	8 000
3978116	2013.01.04 08:30	buy	1	eurjpypro	114.857	114.662	0	2013.01.04 09:35	114.662	-513	0	0	-19 500
3972701	2013.01.03 08:37	buy	1	eurjpypro	114.729	114.473	0	2013.01.03 10:04	114.473	-513	0	0	-25 600
3967158	2013.01.02 04:48	buy	1	eurjpypro	115.512	115.417	0	2013.01.02 09:28	115.398	-513	0	0	-11 400
3967024	2013.01.02 04:08	buy	1	eurjpypro	115.687	115.497	0	2013.01.02 04:43	115.497	-513	0	0	-19 000
3966243	2012.12.31 16:13	buy	1	eurjpypro	113.976	115.649	0	2013.01.02 04:07	115.649	-513	0	-280	167 300
3965878	2012.12.31 15:05	buy	1	eurjpypro	113.986	113.954	0	2012.12.31 16:13	113.954	-8	0	0	-3 200
3964264	2012.12.31 07:04	buy	1	eurjpypro	113.63	113.958	0	2012.12.31 15:04	113.958	-8	0	0	32 800
3963329	2012.12.30 23:29	buy	1	eurjpypro	113.744	113.522	0	2012.12.31 06:18	113.522	-8	0	0	-22 200
3963095	2012.12.28 21:39	buy	1	eurjpypro	113.75	113.432	0	2012.12.30 22:02	113.161	-8	0	-140	-58 900
3962475	2012.12.28 15:22	buy	1	eurjpypro	113.86	113.679	0	2012.12.28 21:39	113.679	-8	0	0	-18 100
3962285	2012.12.28 14:35	buy	1	eurjpypro	113.894	113.713	0	2012.12.28 15:16	113.713	-8	0	0	-18 100
3954392	2012.12.24 17:59	buy	0.5	eurjpypro	111.762	112.542	0	2012.12.26 23:00	113.028	-4	0	-350	63 300
3951869	2012.12.24 17:59	buy	0.5	eurjpypro	111.762	112.542	0	2012.12.26 18:27	113.183	-4	0	-140	71 050
3950866	2012.12.24 11:30	buy	1	eurjpypro	111.727	111.73	0	2012.12.24 17:48	111.73	-8	0	0	300
