close price,close time,comment,commission,expiration,lots,magic number,open price,open time,profit,stop loss,swap,symbol,take profit,ticket,order type
81.964,2012.11.29 14:49,,-4,1970.01.01 00:00,0.5,0,81.944,2012.11.29 14:36,-1000,82.01,0,USDJPYpro,81.8,3873823,1
1.2996,2012.11.29 14:54,,-4,1970.01.01 00:00,0.5,0,1.29985,2012.11.29 14:50,1024,0,0,EURUSDpro,0,3873864,1
1.30009,2012.11.29 15:00,,-16,1970.01.01 00:00,2,0,1.30072,2012.11.29 14:59,-10334,0,0,EURUSDpro,0,3873904,0
1.30109,2012.11.29 15:02,,-16,1970.01.01 00:00,2,0,1.30106,2012.11.29 15:02,492,0,0,EURUSDpro,0,3873936,0
1.3,2012.11.29 15:08,,-16,1970.01.01 00:00,2,0,1.30124,2012.11.29 15:02,-20325,1.3,0,EURUSDpro,0,3873946,0
1.29838,2012.11.29 15:13,,-4,1970.01.01 00:00,0.5,0,1.29785,2012.11.29 15:12,-2173,0,0,EURUSDpro,0,3874003,1
82.497,2012.11.30 07:08,,-4,1970.01.01 00:00,0.5,0,82.397,2012.11.30 05:01,-5000,82.497,0,USDJPYpro,82.3,3876175,1
82.495,2012.11.30 07:19,,-2,1970.01.01 00:00,0.2,0,82.518,2012.11.30 07:17,460,0,0,USDJPYpro,0,3876609,1
1.30206,2012.11.30 07:35,,-4,1970.01.01 00:00,0.5,0,1.30203,2012.11.30 07:19,-124,0,0,EURUSDpro,0,3876618,1
1.30213,2012.11.30 07:44,,-4,1970.01.01 00:00,0.5,0,1.30183,2012.11.30 07:42,1239,0,0,EURUSDpro,0,3876668,0
1.3,2012.11.30 09:46,,-4,1970.01.01 00:00,0.5,0,1.3003,2012.11.30 09:45,1239,0,0,EURUSDpro,1.2999,3877058,1
1.30026,2012.11.30 10:19,,-4,1970.01.01 00:00,0.5,0,1.29933,2012.11.30 10:06,-3842,0,0,EURUSDpro,0,3877204,1
1.30002,2012.11.30 10:22,,-4,1970.01.01 00:00,0.5,0,1.30044,2012.11.30 10:21,-1735,0,0,EURUSDpro,0,3877231,0
1.29928,2012.11.30 14:40,,-2,1970.01.01 00:00,0.2,0,1.29865,2012.11.30 14:26,1041,1.2974,0,EURUSDpro,0,3878086,0
82.618,2012.11.30 14:45,,-2,1970.01.01 00:00,0.2,0,82.648,2012.11.30 14:44,-600,0,0,USDJPYpro,0,3878142,0
82.6,2012.11.30 14:46,,-2,1970.01.01 00:00,0.2,0,82.625,2012.11.30 14:45,500,0,0,USDJPYpro,0,3878146,1
82.524,2012.11.30 14:57,,-2,1970.01.01 00:00,0.2,0,82.575,2012.11.30 14:51,1020,82.625,0,USDJPYpro,82.505,3878195,1
